graph_name timelimit K 
./instances/slashdot-undirected-size400-part0.graph 300 128   
./instances/slashdot-undirected-size600-part0.graph 300 128   
./instances/slashdot-undirected-size800-part0.graph 300 128   
./instances/slashdot-undirected-size1000-part0.graph 900 128  
./instances/slashdot-undirected-size2000-part0.graph 900 128  
./instances/slashdot-undirected-size4000-part0.graph 900 128  
./instances/slashdot-undirected-size8000-part0.graph 1800 128 
./instances/slashdot-undirected-size10000-part0.graph 3600 128
./instances/slashdot-undirected-size300-part0.graph 300 256   
./instances/slashdot-undirected-size400-part0.graph 300 256   
./instances/slashdot-undirected-size600-part0.graph 300 256   
./instances/slashdot-undirected-size800-part0.graph 300 256   
./instances/slashdot-undirected-size1000-part0.graph 900 256  
./instances/slashdot-undirected-size2000-part0.graph 900 256  
./instances/slashdot-undirected-size4000-part0.graph 900 256  
./instances/slashdot-undirected-size8000-part0.graph 1800 256 
./instances/slashdot-undirected-size10000-part0.graph 3600 256
./instances/slashdot-undirected-size600-part0.graph 300 512   
./instances/slashdot-undirected-size800-part0.graph 300 512   
./instances/slashdot-undirected-size1000-part0.graph 900 512  
./instances/slashdot-undirected-size2000-part0.graph 900 512  
./instances/slashdot-undirected-size4000-part0.graph 900 512  
./instances/slashdot-undirected-size8000-part0.graph 1800 512 
./instances/slashdot-undirected-size10000-part0.graph 3600 512
./instances/slashdot-undirected-size2000-part0.graph 900 1024  
./instances/slashdot-undirected-size4000-part0.graph 900 1024  
./instances/slashdot-undirected-size8000-part0.graph 1800 1024 
./instances/slashdot-undirected-size10000-part0.graph 3600 1024
./instances/soc-sign-bitcoinalpha.graph 900 2 
./instances/soc-sign-bitcoinotc.graph 1800 2
./instances/elec.graph 1800 2
./instances/chess.graph 1800 2
./instances/wiki-undirected.graph 1800 2
./instances/soc-sign-Slashdot081106.graph 3600 2
./instances/slashdot-zoo.graph 3600 2
./instances/soc-sign-Slashdot090216.graph 3600 2
./instances/soc-sign-Slashdot090221.graph 3600 2
./instances/wikiconflict.graph 3600 2
./instances/soc-sign-epinions.graph 3600 2
./instances/wikisigned-k2.graph 3600 2

./instances/soc-sign-bitcoinalpha.graph 900 4 
./instances/soc-sign-bitcoinotc.graph 1800 4
./instances/elec.graph 1800 4
./instances/chess.graph 1800 4
./instances/wiki-undirected.graph 1800 4
./instances/soc-sign-Slashdot081106.graph 3600 4
./instances/slashdot-zoo.graph 3600 4
./instances/soc-sign-Slashdot090216.graph 3600 4
./instances/soc-sign-Slashdot090221.graph 3600 4
./instances/wikiconflict.graph 3600 4
./instances/soc-sign-epinions.graph 3600 4
./instances/wikisigned-k2.graph 3600 4

./instances/soc-sign-bitcoinalpha.graph 900 8 
./instances/soc-sign-bitcoinotc.graph 1800 8
./instances/elec.graph 1800 8
./instances/chess.graph 1800 8
./instances/wiki-undirected.graph 1800 8
./instances/soc-sign-Slashdot081106.graph 3600 8
./instances/slashdot-zoo.graph 3600 8
./instances/soc-sign-Slashdot090216.graph 3600 8
./instances/soc-sign-Slashdot090221.graph 3600 8
./instances/wikiconflict.graph 3600 8
./instances/soc-sign-epinions.graph 3600 8
./instances/wikisigned-k2.graph 3600 8

./instances/soc-sign-bitcoinalpha.graph 900 16 
./instances/soc-sign-bitcoinotc.graph 1800 16
./instances/elec.graph 1800 16
./instances/chess.graph 1800 16
./instances/wiki-undirected.graph 1800 16
./instances/soc-sign-Slashdot081106.graph 3600 16
./instances/slashdot-zoo.graph 3600 16
./instances/soc-sign-Slashdot090216.graph 3600 16
./instances/soc-sign-Slashdot090221.graph 3600 16
./instances/wikiconflict.graph 3600 16
./instances/soc-sign-epinions.graph 3600 16
./instances/wikisigned-k2.graph 3600 16

./instances/soc-sign-bitcoinalpha.graph 900 32 
./instances/soc-sign-bitcoinotc.graph 1800 32
./instances/elec.graph 1800 32
./instances/chess.graph 1800 32
./instances/wiki-undirected.graph 1800 32
./instances/soc-sign-Slashdot081106.graph 3600 32
./instances/slashdot-zoo.graph 3600 32
./instances/soc-sign-Slashdot090216.graph 3600 32
./instances/soc-sign-Slashdot090221.graph 3600 32
./instances/wikiconflict.graph 3600 32
./instances/soc-sign-epinions.graph 3600 32
./instances/wikisigned-k2.graph 3600 32

./instances/soc-sign-bitcoinalpha.graph 900 64 
./instances/soc-sign-bitcoinotc.graph 1800 64
./instances/elec.graph 1800 64
./instances/chess.graph 1800 64
./instances/wiki-undirected.graph 1800 64
./instances/soc-sign-Slashdot081106.graph 3600 64
./instances/slashdot-zoo.graph 3600 64
./instances/soc-sign-Slashdot090216.graph 3600 64
./instances/soc-sign-Slashdot090221.graph 3600 64
./instances/wikiconflict.graph 3600 64
./instances/soc-sign-epinions.graph 3600 64
./instances/wikisigned-k2.graph 3600 64

./instances/soc-sign-bitcoinalpha.graph 900 128 
./instances/soc-sign-bitcoinotc.graph 1800 128
./instances/elec.graph 1800 128
./instances/chess.graph 1800 128
./instances/wiki-undirected.graph 1800 128
./instances/soc-sign-Slashdot081106.graph 3600 128
./instances/slashdot-zoo.graph 3600 128
./instances/soc-sign-Slashdot090216.graph 3600 128
./instances/soc-sign-Slashdot090221.graph 3600 128
./instances/wikiconflict.graph 3600 128
./instances/soc-sign-epinions.graph 3600 128
./instances/wikisigned-k2.graph 3600 128

./instances/soc-sign-bitcoinalpha.graph 900 256 
./instances/soc-sign-bitcoinotc.graph 1800 256
./instances/elec.graph 1800 256
./instances/chess.graph 1800 256
./instances/wiki-undirected.graph 1800 256
./instances/soc-sign-Slashdot081106.graph 3600 256
./instances/slashdot-zoo.graph 3600 256
./instances/soc-sign-Slashdot090216.graph 3600 256
./instances/soc-sign-Slashdot090221.graph 3600 256
./instances/wikiconflict.graph 3600 256
./instances/soc-sign-epinions.graph 3600 256
./instances/wikisigned-k2.graph 3600 256

./instances/soc-sign-bitcoinalpha.graph 900 512 
./instances/soc-sign-bitcoinotc.graph 1800 512
./instances/elec.graph 1800 512
./instances/chess.graph 1800 512
./instances/wiki-undirected.graph 1800 512
./instances/soc-sign-Slashdot081106.graph 3600 512
./instances/slashdot-zoo.graph 3600 512
./instances/soc-sign-Slashdot090216.graph 3600 512
./instances/soc-sign-Slashdot090221.graph 3600 512
./instances/wikiconflict.graph 3600 512
./instances/soc-sign-epinions.graph 3600 512
./instances/wikisigned-k2.graph 3600 512

./instances/soc-sign-bitcoinalpha.graph 900 1024 
./instances/soc-sign-bitcoinotc.graph 1800 1024
./instances/elec.graph 1800 1024
./instances/chess.graph 1800 1024
./instances/wiki-undirected.graph 1800 1024
./instances/soc-sign-Slashdot081106.graph 3600 1024
./instances/slashdot-zoo.graph 3600 1024
./instances/soc-sign-Slashdot090216.graph 3600 1024
./instances/soc-sign-Slashdot090221.graph 3600 1024
./instances/wikiconflict.graph 3600 1024
./instances/soc-sign-epinions.graph 3600 1024
./instances/wikisigned-k2.graph 3600 1024


./instances/soc-sign-bitcoinalpha.graph 900 K 
./instances/soc-sign-bitcoinotc.graph 1800 K
./instances/elec.graph 1800 K
./instances/chess.graph 1800 K
./instances/wiki-undirected.graph 1800 K
./instances/soc-sign-Slashdot081106.graph 3600 K
./instances/slashdot-zoo.graph 3600 K
./instances/soc-sign-Slashdot090216.graph 3600 K
./instances/soc-sign-Slashdot090221.graph 3600 K
./instances/wikiconflict.graph 3600 K
./instances/soc-sign-epinions.graph 3600 K
./instances/wikisigned-k2.graph 3600 K




17
../instances/slashdot-undirected-size200-part0.graph 30 128
../instances/slashdot-undirected-size1000-part0.graph 900 512
../instances/slashdot-undirected-size600-part0.graph 300 512
../instances/slashdot-undirected-size800-part0.graph 300 128
../instances/slashdot-undirected-size200-part0.graph 300 128
../instances/slashdot-undirected-size300-part0.graph 300 128
../instances/slashdot-undirected-size400-part0.graph 300 128
../instances/slashdot-undirected-size600-part0.graph 300 128
../instances/slashdot-undirected-size1000-part0.graph 900 128
../instances/slashdot-undirected-size2000-part0.graph 900 128
../instances/slashdot-undirected-size300-part0.graph 300 256
../instances/slashdot-undirected-size800-part0.graph 300 512
../instances/slashdot-undirected-size2000-part0.graph 900 1024
../instances/slashdot-undirected-size4000-part0.graph 900 1024
../instances/slashdot-undirected-size8000-part0.graph 1800 1024
../instances/slashdot-undirected-size10000-part0.graph 3600 1024
../instances/slashdot-undirected-size400-part0.graph 300 256


// 全部算例
210
../instances/slashdot-undirected-size200-part0.graph 300 2
../instances/slashdot-undirected-size300-part0.graph 300 2
../instances/slashdot-undirected-size400-part0.graph 300 2
../instances/slashdot-undirected-size600-part0.graph 300 2
../instances/slashdot-undirected-size800-part0.graph 300 2
../instances/slashdot-undirected-size1000-part0.graph 900 2
../instances/slashdot-undirected-size2000-part0.graph 900 2
../instances/slashdot-undirected-size4000-part0.graph 900 2
../instances/slashdot-undirected-size8000-part0.graph 1800 2
../instances/slashdot-undirected-size10000-part0.graph 3600 2
../instances/slashdot-undirected-size200-part0.graph 300 4
../instances/slashdot-undirected-size300-part0.graph 300 4
../instances/slashdot-undirected-size400-part0.graph 300 4
../instances/slashdot-undirected-size600-part0.graph 300 4
../instances/slashdot-undirected-size800-part0.graph 300 4
../instances/slashdot-undirected-size1000-part0.graph 900 4
../instances/slashdot-undirected-size2000-part0.graph 900 4
../instances/slashdot-undirected-size4000-part0.graph 900 4
../instances/slashdot-undirected-size8000-part0.graph 1800 4
../instances/slashdot-undirected-size10000-part0.graph 3600 4
../instances/slashdot-undirected-size200-part0.graph 300 8
../instances/slashdot-undirected-size300-part0.graph 300 8
../instances/slashdot-undirected-size400-part0.graph 300 8
../instances/slashdot-undirected-size600-part0.graph 300 8
../instances/slashdot-undirected-size800-part0.graph 300 8
../instances/slashdot-undirected-size1000-part0.graph 900 8
../instances/slashdot-undirected-size2000-part0.graph 900 8
../instances/slashdot-undirected-size4000-part0.graph 900 8
../instances/slashdot-undirected-size8000-part0.graph 1800 8
../instances/slashdot-undirected-size10000-part0.graph 3600 8
../instances/slashdot-undirected-size200-part0.graph 300 16
../instances/slashdot-undirected-size300-part0.graph 300 16
../instances/slashdot-undirected-size400-part0.graph 300 16
../instances/slashdot-undirected-size600-part0.graph 300 16
../instances/slashdot-undirected-size800-part0.graph 300 16
../instances/slashdot-undirected-size1000-part0.graph 900 16
../instances/slashdot-undirected-size2000-part0.graph 900 16
../instances/slashdot-undirected-size4000-part0.graph 900 16
../instances/slashdot-undirected-size8000-part0.graph 1800 16
../instances/slashdot-undirected-size10000-part0.graph 3600 16
../instances/slashdot-undirected-size200-part0.graph 300 32
../instances/slashdot-undirected-size300-part0.graph 300 32
../instances/slashdot-undirected-size400-part0.graph 300 32
../instances/slashdot-undirected-size600-part0.graph 300 32
../instances/slashdot-undirected-size800-part0.graph 300 32
../instances/slashdot-undirected-size1000-part0.graph 900 32
../instances/slashdot-undirected-size2000-part0.graph 900 32
../instances/slashdot-undirected-size4000-part0.graph 900 32
../instances/slashdot-undirected-size8000-part0.graph 1800 32
../instances/slashdot-undirected-size10000-part0.graph 3600 32
../instances/slashdot-undirected-size200-part0.graph 300 64
../instances/slashdot-undirected-size300-part0.graph 300 64
../instances/slashdot-undirected-size400-part0.graph 300 64
../instances/slashdot-undirected-size600-part0.graph 300 64
../instances/slashdot-undirected-size800-part0.graph 300 64
../instances/slashdot-undirected-size1000-part0.graph 900 64
../instances/slashdot-undirected-size2000-part0.graph 900 64
../instances/slashdot-undirected-size4000-part0.graph 900 64
../instances/slashdot-undirected-size8000-part0.graph 1800 64
../instances/slashdot-undirected-size10000-part0.graph 3600 64
../instances/slashdot-undirected-size200-part0.graph 300 128
../instances/slashdot-undirected-size300-part0.graph 300 128
../instances/slashdot-undirected-size400-part0.graph 300 128
../instances/slashdot-undirected-size600-part0.graph 300 128
../instances/slashdot-undirected-size800-part0.graph 300 128
../instances/slashdot-undirected-size1000-part0.graph 900 128
../instances/slashdot-undirected-size2000-part0.graph 900 128
../instances/slashdot-undirected-size4000-part0.graph 900 128
../instances/slashdot-undirected-size8000-part0.graph 1800 128
../instances/slashdot-undirected-size10000-part0.graph 3600 128
../instances/slashdot-undirected-size300-part0.graph 300 256
../instances/slashdot-undirected-size400-part0.graph 300 256
../instances/slashdot-undirected-size600-part0.graph 300 256
../instances/slashdot-undirected-size800-part0.graph 300 256
../instances/slashdot-undirected-size1000-part0.graph 900 256
../instances/slashdot-undirected-size2000-part0.graph 900 256
../instances/slashdot-undirected-size4000-part0.graph 900 256
../instances/slashdot-undirected-size8000-part0.graph 1800 256
../instances/slashdot-undirected-size10000-part0.graph 3600 256
../instances/slashdot-undirected-size600-part0.graph 300 512
../instances/slashdot-undirected-size800-part0.graph 300 512
../instances/slashdot-undirected-size1000-part0.graph 900 512
../instances/slashdot-undirected-size2000-part0.graph 900 512
../instances/slashdot-undirected-size4000-part0.graph 900 512
../instances/slashdot-undirected-size8000-part0.graph 1800 512
../instances/slashdot-undirected-size10000-part0.graph 3600 512
../instances/slashdot-undirected-size2000-part0.graph 900 1024
../instances/slashdot-undirected-size4000-part0.graph 900 1024
../instances/slashdot-undirected-size8000-part0.graph 1800 1024
../instances/slashdot-undirected-size10000-part0.graph 3600 1024
../instances/soc-sign-bitcoinalpha.graph 900 2
../instances/soc-sign-bitcoinotc.graph 1800 2
../instances/elec.graph 1800 2
../instances/chess.graph 1800 2
../instances/wiki-undirected.graph 1800 2
../instances/soc-sign-Slashdot081106.graph 3600 2
../instances/slashdot-zoo.graph 3600 2
../instances/soc-sign-Slashdot090216.graph 3600 2
../instances/soc-sign-Slashdot090221.graph 3600 2
../instances/wikiconflict.graph 3600 2
../instances/soc-sign-epinions.graph 3600 2
../instances/wikisigned-k2.graph 3600 2
../instances/soc-sign-bitcoinalpha.graph 900 4
../instances/soc-sign-bitcoinotc.graph 1800 4
../instances/elec.graph 1800 4
../instances/chess.graph 1800 4
../instances/wiki-undirected.graph 1800 4
../instances/soc-sign-Slashdot081106.graph 3600 4
../instances/slashdot-zoo.graph 3600 4
../instances/soc-sign-Slashdot090216.graph 3600 4
../instances/soc-sign-Slashdot090221.graph 3600 4
../instances/wikiconflict.graph 3600 4
../instances/soc-sign-epinions.graph 3600 4
../instances/wikisigned-k2.graph 3600 4
../instances/soc-sign-bitcoinalpha.graph 900 8
../instances/soc-sign-bitcoinotc.graph 1800 8
../instances/elec.graph 1800 8
../instances/chess.graph 1800 8
../instances/wiki-undirected.graph 1800 8
../instances/soc-sign-Slashdot081106.graph 3600 8
../instances/slashdot-zoo.graph 3600 8
../instances/soc-sign-Slashdot090216.graph 3600 8
../instances/soc-sign-Slashdot090221.graph 3600 8
../instances/wikiconflict.graph 3600 8
../instances/soc-sign-epinions.graph 3600 8
../instances/wikisigned-k2.graph 3600 8
../instances/soc-sign-bitcoinalpha.graph 900 16
../instances/soc-sign-bitcoinotc.graph 1800 16
../instances/elec.graph 1800 16
../instances/chess.graph 1800 16
../instances/wiki-undirected.graph 1800 16
../instances/soc-sign-Slashdot081106.graph 3600 16
../instances/slashdot-zoo.graph 3600 16
../instances/soc-sign-Slashdot090216.graph 3600 16
../instances/soc-sign-Slashdot090221.graph 3600 16
../instances/wikiconflict.graph 3600 16
../instances/soc-sign-epinions.graph 3600 16
../instances/wikisigned-k2.graph 3600 16
../instances/soc-sign-bitcoinalpha.graph 900 32
../instances/soc-sign-bitcoinotc.graph 1800 32
../instances/elec.graph 1800 32
../instances/chess.graph 1800 32
../instances/wiki-undirected.graph 1800 32
../instances/soc-sign-Slashdot081106.graph 3600 32
../instances/slashdot-zoo.graph 3600 32
../instances/soc-sign-Slashdot090216.graph 3600 32
../instances/soc-sign-Slashdot090221.graph 3600 32
../instances/wikiconflict.graph 3600 32
../instances/soc-sign-epinions.graph 3600 32
../instances/wikisigned-k2.graph 3600 32
../instances/soc-sign-bitcoinalpha.graph 900 64
../instances/soc-sign-bitcoinotc.graph 1800 64
../instances/elec.graph 1800 64
../instances/chess.graph 1800 64
../instances/wiki-undirected.graph 1800 64
../instances/soc-sign-Slashdot081106.graph 3600 64
../instances/slashdot-zoo.graph 3600 64
../instances/soc-sign-Slashdot090216.graph 3600 64
../instances/soc-sign-Slashdot090221.graph 3600 64
../instances/wikiconflict.graph 3600 64
../instances/soc-sign-epinions.graph 3600 64
../instances/wikisigned-k2.graph 3600 64
../instances/soc-sign-bitcoinalpha.graph 900 128
../instances/soc-sign-bitcoinotc.graph 1800 128
../instances/elec.graph 1800 128
../instances/chess.graph 1800 128
../instances/wiki-undirected.graph 1800 128
../instances/soc-sign-Slashdot081106.graph 3600 128
../instances/slashdot-zoo.graph 3600 128
../instances/soc-sign-Slashdot090216.graph 3600 128
../instances/soc-sign-Slashdot090221.graph 3600 128
../instances/wikiconflict.graph 3600 128
../instances/soc-sign-epinions.graph 3600 128
../instances/wikisigned-k2.graph 3600 128
../instances/soc-sign-bitcoinalpha.graph 900 256
../instances/soc-sign-bitcoinotc.graph 1800 256
../instances/elec.graph 1800 256
../instances/chess.graph 1800 256
../instances/wiki-undirected.graph 1800 256
../instances/soc-sign-Slashdot081106.graph 3600 256
../instances/slashdot-zoo.graph 3600 256
../instances/soc-sign-Slashdot090216.graph 3600 256
../instances/soc-sign-Slashdot090221.graph 3600 256
../instances/wikiconflict.graph 3600 256
../instances/soc-sign-epinions.graph 3600 256
../instances/wikisigned-k2.graph 3600 256
../instances/soc-sign-bitcoinalpha.graph 900 512
../instances/soc-sign-bitcoinotc.graph 1800 512
../instances/elec.graph 1800 512
../instances/chess.graph 1800 512
../instances/wiki-undirected.graph 1800 512
../instances/soc-sign-Slashdot081106.graph 3600 512
../instances/slashdot-zoo.graph 3600 512
../instances/soc-sign-Slashdot090216.graph 3600 512
../instances/soc-sign-Slashdot090221.graph 3600 512
../instances/wikiconflict.graph 3600 512
../instances/soc-sign-epinions.graph 3600 512
../instances/wikisigned-k2.graph 3600 512
../instances/soc-sign-bitcoinalpha.graph 900 1024
../instances/soc-sign-bitcoinotc.graph 1800 1024
../instances/elec.graph 1800 1024
../instances/chess.graph 1800 1024
../instances/wiki-undirected.graph 1800 1024
../instances/soc-sign-Slashdot081106.graph 3600 1024
../instances/slashdot-zoo.graph 3600 1024
../instances/soc-sign-Slashdot090216.graph 3600 1024
../instances/soc-sign-Slashdot090221.graph 3600 1024
../instances/wikiconflict.graph 3600 1024
../instances/soc-sign-epinions.graph 3600 1024
../instances/wikisigned-k2.graph 3600 1024
